 #*******************************************************************************************
 #N     h                       T-Rule.              S-Rule            G-Quad           Error_trap                  Error_simp         Error_gau
 #*******************************************************************************************
    150   0.0133       -0.00899536083147679     -0.00899536087794612     -0.00449768041684616      1.00000018486792941      1.00000019519977501      0.00000009268026067
    160   0.0125       -0.00899536083218805     -0.00899536086374393     -0.00449768041684615      1.00000018502606913      1.00000019204210400      0.00000009268026009
    170   0.0118       -0.00899536083264671     -0.00899536085458373     -0.00449768041684616      1.00000018512804645      1.00000019000545426      0.00000009268026086
    180   0.0111       -0.00899536083295026     -0.00899536084852050     -0.00449768041684615      1.00000018519553535      1.00000018865737417      0.00000009268026048
    190   0.0105       -0.00899536083315582     -0.00899536084441377     -0.00449768041684616      1.00000018524124035      1.00000018774429700      0.00000009268026183
    200   0.0100       -0.00899536083329793     -0.00899536084157437     -0.00449768041684616      1.00000018527283530      1.00000018711299443      0.00000009268026106
    210   0.0095       -0.00899536083339802     -0.00899536083957455     -0.00449768041684615      1.00000018529508972      1.00000018666835944      0.00000009268026029
    220   0.0091       -0.00899536083346969     -0.00899536083814226     -0.00449768041684615      1.00000018531102497      1.00000018634990973      0.00000009268025855
    230   0.0087       -0.00899536083352181     -0.00899536083710073     -0.00449768041684615      1.00000018532261192      1.00000018611833852      0.00000009268026048
    240   0.0083       -0.00899536083356024     -0.00899536083633277     -0.00449768041684615      1.00000018533115731      1.00000018594759199      0.00000009268025971
    250   0.0080       -0.00899536083358892     -0.00899536083575925     -0.00449768041684615      1.00000018533753487      1.00000018582007755      0.00000009268025951
    260   0.0077       -0.00899536083361061     -0.00899536083532593     -0.00449768041684615      1.00000018534235591      1.00000018572373506      0.00000009268026029
    270   0.0074       -0.00899536083362716     -0.00899536083499496     -0.00449768041684614      1.00000018534603541      1.00000018565014748      0.00000009268025816
    280   0.0071       -0.00899536083363993     -0.00899536083473963     -0.00449768041684615      1.00000018534887580      1.00000018559337844      0.00000009268025990
    290   0.0069       -0.00899536083364988     -0.00899536083454081     -0.00449768041684614      1.00000018535108737      1.00000018554917447      0.00000009268025836
    300   0.0067       -0.00899536083365770     -0.00899536083438466     -0.00449768041684615      1.00000018535282531      1.00000018551445558      0.00000009268025874
    310   0.0065       -0.00899536083366387     -0.00899536083426102     -0.00449768041684614      1.00000018535419910      1.00000018548696623      0.00000009268025739
    320   0.0063       -0.00899536083366881     -0.00899536083416239     -0.00449768041684615      1.00000018535529600      1.00000018546503844      0.00000009268025894
    330   0.0061       -0.00899536083367279     -0.00899536083408316     -0.00449768041684614      1.00000018535618040      1.00000018544742142      0.00000009268025816
    340   0.0059       -0.00899536083367598     -0.00899536083401907     -0.00449768041684614      1.00000018535689006      1.00000018543317282      0.00000009268025720
    350   0.0057       -0.00899536083367859     -0.00899536083396691     -0.00449768041684614      1.00000018535747093      1.00000018542157543      0.00000009268025778
    360   0.0056       -0.00899536083368072     -0.00899536083392422     -0.00449768041684614      1.00000018535794499      1.00000018541208235      0.00000009268025759
    370   0.0054       -0.00899536083368248     -0.00899536083388906     -0.00449768041684614      1.00000018535833601      1.00000018540426705      0.00000009268025701
    380   0.0053       -0.00899536083368394     -0.00899536083385997     -0.00449768041684614      1.00000018535865931      1.00000018539779889      0.00000009268025662
    390   0.0051       -0.00899536083368514     -0.00899536083383580     -0.00449768041684614      1.00000018535892732      1.00000018539242430      0.00000009268025739
    400   0.0050       -0.00899536083368616     -0.00899536083381556     -0.00449768041684614      1.00000018535915491      1.00000018538792368      0.00000009268025739
    410   0.0049       -0.00899536083368701     -0.00899536083379859     -0.00449768041684614      1.00000018535934343      1.00000018538415114      0.00000009268025624
    420   0.0048       -0.00899536083368772     -0.00899536083378429     -0.00449768041684614      1.00000018535950153      1.00000018538097191      0.00000009268025739
    430   0.0047       -0.00899536083368834     -0.00899536083377219     -0.00449768041684614      1.00000018535963764      1.00000018537828050      0.00000009268025701
    440   0.0045       -0.00899536083368883     -0.00899536083376189     -0.00449768041684613      1.00000018535974755      1.00000018537599233      0.00000009268025489
    450   0.0044       -0.00899536083368927     -0.00899536083375312     -0.00449768041684614      1.00000018535984569      1.00000018537404056      0.00000009268025662
    460   0.0043       -0.00899536083368966     -0.00899536083374561     -0.00449768041684613      1.00000018535993229      1.00000018537237101      0.00000009268025566
    470   0.0043       -0.00899536083368999     -0.00899536083373915     -0.00449768041684614      1.00000018536000534      1.00000018537093505      0.00000009268025662
    480   0.0042       -0.00899536083369025     -0.00899536083373360     -0.00449768041684613      1.00000018536006396      1.00000018536970203      0.00000009268025566
    490   0.0041       -0.00899536083369051     -0.00899536083372879     -0.00449768041684614      1.00000018536012170      1.00000018536863133      0.00000009268025643
    500   0.0040       -0.00899536083369072     -0.00899536083372463     -0.00449768041684613      1.00000018536016699      1.00000018536770785      0.00000009268025489
    510   0.0039       -0.00899536083369089     -0.00899536083372102     -0.00449768041684613      1.00000018536020518      1.00000018536690538      0.00000009268025527
    520   0.0038       -0.00899536083369104     -0.00899536083371785     -0.00449768041684613      1.00000018536023827      1.00000018536620039      0.00000009268025469
    530   0.0038       -0.00899536083369118     -0.00899536083371510     -0.00449768041684613      1.00000018536026980      1.00000018536558888      0.00000009268025546
    540   0.0037       -0.00899536083369131     -0.00899536083371267     -0.00449768041684613      1.00000018536029844      1.00000018536504864      0.00000009268025489
    550   0.0036       -0.00899536083369141     -0.00899536083371056     -0.00449768041684613      1.00000018536032154      1.00000018536457813      0.00000009268025527
    560   0.0036       -0.00899536083369150     -0.00899536083370869     -0.00449768041684614      1.00000018536034196      1.00000018536416424      0.00000009268025643
    570   0.0035       -0.00899536083369159     -0.00899536083370705     -0.00449768041684613      1.00000018536036062      1.00000018536379853      0.00000009268025411
    580   0.0034       -0.00899536083369166     -0.00899536083370559     -0.00449768041684613      1.00000018536037638      1.00000018536347413      0.00000009268025527
    590   0.0034       -0.00899536083369172     -0.00899536083370428     -0.00449768041684613      1.00000018536039015      1.00000018536318347      0.00000009268025469
    600   0.0033       -0.00899536083369178     -0.00899536083370315     -0.00449768041684614      1.00000018536040303      1.00000018536293145      0.00000009268025624
    610   0.0033       -0.00899536083369182     -0.00899536083370212     -0.00449768041684614      1.00000018536041302      1.00000018536270319      0.00000009268025720
    620   0.0032       -0.00899536083369186     -0.00899536083370121     -0.00449768041684614      1.00000018536042212      1.00000018536250113      0.00000009268025759
    630   0.0032       -0.00899536083369193     -0.00899536083370040     -0.00449768041684612      1.00000018536043722      1.00000018536232105      0.00000009268025257
    640   0.0031       -0.00899536083369195     -0.00899536083369966     -0.00449768041684614      1.00000018536044033      1.00000018536215518      0.00000009268025624
    650   0.0031       -0.00899536083369198     -0.00899536083369901     -0.00449768041684613      1.00000018536044766      1.00000018536201085      0.00000009268025527
    660   0.0030       -0.00899536083369202     -0.00899536083369843     -0.00449768041684613      1.00000018536045654      1.00000018536188162      0.00000009268025604
    670   0.0030       -0.00899536083369204     -0.00899536083369790     -0.00449768041684614      1.00000018536046165      1.00000018536176527      0.00000009268025624
    680   0.0029       -0.00899536083369206     -0.00899536083369744     -0.00449768041684614      1.00000018536046587      1.00000018536166269      0.00000009268025720
    690   0.0029       -0.00899536083369208     -0.00899536083369700     -0.00449768041684614      1.00000018536047008      1.00000018536156343      0.00000009268025624
    700   0.0029       -0.00899536083369212     -0.00899536083369662     -0.00449768041684613      1.00000018536047897      1.00000018536147861      0.00000009268025585
    710   0.0028       -0.00899536083369213     -0.00899536083369626     -0.00449768041684614      1.00000018536048163      1.00000018536140001      0.00000009268025624
